id	p_estreams_tq.evap_camels	p_t_estreams_q.evap_camels	pt_q_camels.evap_camels	ptq_camels.evap_camels	p_estreams_tq.evap_estreams	p_t_estreams_q.evap_estreams	pt_q_camels.evap_estreams	ptq_camels.evap_estreams
CZ000148	0.872382343461156	0.912621330602569	0.873303540516611	0.914481772076578	0.862205351114763	0.909610900798906	0.866926540230347	0.912536016454545
CZ000149	0.905282660616995	0.888788313683141	0.898675680757142	0.892737838720827	0.91083455788477	0.911537869452013	0.918634226469143	0.914059048049085
CZ000151	0.816938851675759	0.86779754989297	0.823433208127238	0.866637014341134	0.815871867578679	0.870332263313367	0.806518728688278	0.873217356310121
CZ000152	0.777581830567814	0.816569405845078	0.782887008542663	0.804378894293686	0.76329011702628	0.815951379890542	0.771085180645808	0.809255744335101
CZ000154	0.837219844220732	0.846873728574766	0.844488169909665	0.84361741131402	0.843962960611133	0.865884696838351	0.853836259418454	0.857922796398342
CZ000155	0.884359563107838	0.883782564569944	0.897098536946354	0.887022954275054	0.885217314551929	0.891201922159274	0.894343905291519	0.898873189816838
CZ000156	0.857735904503644	0.845656798884877	0.848361970499867	0.853049166264588	0.863869983931321	0.87458660438673	0.85730424971407	0.876444644998242
CZ000157	0.900282806459174	0.884302628508689	0.894302405167128	0.889890110627437	0.898841300981212	0.90848914828238	0.896702991625059	0.905593546861262
CZ000159	0.884015379088264	0.8879374942709	0.885799420001831	0.885101963783631	0.889048930689656	0.891449183148983	0.886270629609583	0.892917821790944
CZ000160	0.810460073919915	0.816620451558526	0.814468282548017	0.821372908085314	0.818953902613284	0.84587921940343	0.822493645431967	0.846666229606123
CZ000161	0.862595147488231	0.865524116932157	0.862852180991318	0.870070494096036	0.876169269832659	0.885577210222582	0.874652314498155	0.886790637634932
CZ000162	0.821664045547647	0.834252568044798	0.823281142089958	0.82680870067598	0.841671241240719	0.853653423731698	0.83832786067132	0.854720542972793
CZ000163	0.849575852384054	0.847374045152589	0.847560677411339	0.854936071844604	0.865995702202491	0.871148717414633	0.865744983599164	0.873907771362379
CZ000164	0.876206186486928	0.885288300727115	0.877696024302517	0.888726974944933	0.88956537916303	0.901855650209489	0.888809386565172	0.896943514667949
CZ000165	0.852531061431025	0.857744951873687	0.851177578847767	0.858699969525791	0.868411078592823	0.88040250561571	0.866880220184142	0.876179225549289
CZ000168	0.813289244726783	0.813096848706633	0.825521523046278	0.816989114808755	0.82675151915904	0.833076722440857	0.831704983355976	0.823404241694646
CZ000169	0.789989567043877	0.802026726581993	0.793602183413857	0.798649194544141	0.804194926137239	0.821336551557885	0.808400769501515	0.818614999257631
CZ000170	0.855708287450888	0.851422978868075	0.852803127819969	0.853353935448192	0.859741284972558	0.860423556508604	0.856069141593346	0.857952661010573
CZ000173	0.824064016534295	0.861999548319559	0.82601833500763	0.864916394478128	0.819512613400068	0.853860757532031	0.820982351324261	0.851222637759895
CZ000176	0.730869965716132	0.746562470268642	0.723012668821351	0.752016005945618	0.731664843118561	0.74719440408465	0.725127980570821	0.75114393979187
CZ000179	0.79517978072036	0.805831134953289	0.790380126062936	0.812494632984478	0.785660032170759	0.802307666152252	0.776740878576974	0.80304443884299
CZ000180	0.846616277928362	0.821074706136838	0.846836905813204	0.82377435453711	0.86116711471402	0.839797411738333	0.859960921268413	0.840105358687826
CZ000181	0.799648578497209	0.804671032814896	0.798223870973384	0.808690766530219	0.815023522940054	0.832834603175727	0.813923007198874	0.835616327190991
CZ000182	0.804794100946158	0.832727994520798	0.805134897908015	0.833917435951501	0.837276475452916	0.856993538998561	0.835448597463442	0.853242206104724
CZ000183	0.903324874551766	0.907272563353131	0.899080074803091	0.910491565979776	0.921990935544471	0.93079246699409	0.922385486558271	0.93091066001868
CZ000184	0.916918110538656	0.901113457853824	0.91735020714189	0.902534575778108	0.923922568607727	0.922174786493422	0.923617357351514	0.919354498585298
CZ000185	0.855063822126954	0.852156412664558	0.848511753705733	0.853827173771597	0.872456090318398	0.878080234343702	0.872995389603592	0.877694571198415
CZ000188	0.840401142899837	0.849877818881235	0.843951738372939	0.846964944076978	0.875017054303238	0.886435893364914	0.877597311529884	0.882248876084793
CZ000189	0.807907711613649	0.837175254857567	0.812918188104369	0.841150402059411	0.855654926873793	0.883382542765468	0.861802557413244	0.875914140333798
CZ000190	0.824511835065397	0.846926241398501	0.824715026972525	0.84229381569781	0.858195190334133	0.879432938874455	0.855910771093199	0.880884680246443
CZ000191	0.766784940335905	0.799307985059207	0.764420862838409	0.799134849194093	0.767561274953103	0.793507390947362	0.766952674627653	0.791566302251829
CZ000192	0.84627573707213	0.893113394742836	0.8425242581441	0.893577780300814	0.860687065342286	0.907342024735254	0.859369091163251	0.909570004291897
CZ000193	0.796512396424276	0.836467329680453	0.800797197423508	0.83666041083477	0.81388833645044	0.85065175140717	0.814260799855923	0.845270594202519
CZ000194	0.846405251714129	0.891318736760316	0.844707539965828	0.893107824902769	0.865295652935359	0.908370967820153	0.865444541267319	0.911675298348807
CZ000196	0.836481594972817	0.869952443460444	0.834453475715229	0.86730595507637	0.840763781788515	0.879287742731596	0.839720190890323	0.879411765459827
CZ000199	0.867451130903581	0.877084297787438	0.86466258018031	0.881612823884329	0.871577947597689	0.894935189849726	0.872039460667143	0.896124403361112
CZ000201	0.888241528868348	0.909950412230787	0.885965807248024	0.908846681405533	0.867836120166971	0.912267138189123	0.869633335732494	0.913149746303085
CZ000203	0.851869017525656	0.836832715285796	0.847218997075784	0.837070932514034	0.861023157212542	0.854557155665018	0.851876545279765	0.856711563461913
CZ000204	0.880597468939841	0.885541176599608	0.877497689531423	0.887241141228287	0.879342956536842	0.890442639249059	0.874772743622789	0.891259645128162
CZ000205	0.892191716662194	0.876225945448703	0.888934871315357	0.877589965064497	0.909198415370334	0.904819737670865	0.908179525656168	0.907699094194676
CZ000208	0.806789599342011	0.841982408754695	0.809293434705262	0.842596859809292	0.828371981952398	0.862473328761143	0.821342163955768	0.866415965944265
CZ000209	0.757191299115742	0.785561987352845	0.750173973274798	0.785160137993485	0.778677810989076	0.809573625718246	0.769930877153786	0.816155225329655
CZ000210	0.537064209541114	0.615194369270712	0.525525505177505	0.618799755334019	0.508690958092246	0.612275393255025	0.496164360804784	0.620512755651747
CZ000212	0.712044767609387	0.799912511174048	0.719450795055131	0.798916275687316	0.694392086899183	0.794458585309617	0.701071361645339	0.797057220664303
CZ000213	0.885058216345144	0.865708098437544	0.882417806769425	0.865387849424904	0.876076471137613	0.891637287165649	0.875047171948126	0.89451935604751
CZ000214	0.857746939796139	0.865352032304581	0.855268217182217	0.870301431666162	0.844622887570209	0.871881574298482	0.835445053280804	0.877587925151514
CZ000218	0.888833958356958	0.88171140491733	0.890120995057769	0.88323082090563	0.895548853163879	0.890059532559616	0.896565949025036	0.892527725642344
CZ000223	0.731434672719489	0.763693197503894	0.732612320920237	0.765527642051276	0.703153352151534	0.776465993250927	0.705687034851893	0.775180869130387
CZ000228	0.639482035529051	0.67181497579613	0.636981353692411	0.670151836166551	0.626981656238913	0.656605001584454	0.621476407794449	0.656442060808447
CZ000235	0.612755548226909	0.664085919330623	0.613285752369282	0.667050869543163	0.632167902342799	0.692939746432938	0.634898793649144	0.695145757466856
CZ000238	0.297328464789954	0.299550616832668	0.318759327567958	0.333600063827514	0.339572668253333	0.374805419367941	0.338258499703253	0.348572412168337
CZ000240	0.89997801747927	0.860635359505099	0.901166006307769	0.854605836565391	0.907908297978948	0.854102917499394	0.908876366820327	0.848765970236737
CZ000243	0.751427306493745	0.756744797658243	0.752710819703773	0.752081183871391	0.766728096432541	0.773518347953026	0.770338331664999	0.768615570631969
